chrom	start	end	pas	score	strand	polyAsite_exon_idx	nr_polyAsites_on_exon	exon	gene	M323K_WT_1	M323K_HOM_1	M323K_WT_2	M323K_HOM_2	M323K_WT_3	M323K_HOM_3	M323K_WT_4	M323K_HOM_4	M323K_WT_1	M323K_HOM_5
chr9	119393306	119393341	chr9:+:119393329:TE	9	+	1	2	ENSMUST00000216838:20:20:119391740:119393797	ENSMUST00000216838	20.331464	19.857376	14.96141	18.30424	14.307627	19.818552	18.582979	18.768069	20.331464	20.672465
chr9	119393796	119393815	chr9:+:119393797:TE	1	+	2	2	ENSMUST00000216838:20:20:119391740:119393797	ENSMUST00000216838	0.851266	1.202443	1.389904	1.232203	1.355895	1.526199	1.34442	1.450845	0.851266	2.324046
chr2	104060962	104061033	chr2:+:104061006:TE	9	+	1	3	ENSMUST00000111136:11:11:104059881:104063003	ENSMUST00000111136	30.744523	32.909761	21.75976	28.541001	26.034049	26.555134	27.630491	40.296335	30.744523	29.34353
chr2	104061359	104061418	chr2:+:104061407:TE	9	+	2	3	ENSMUST00000111136:11:11:104059881:104063003	ENSMUST00000111136	68.069105	64.02534	60.129078	64.371815	58.455819	61.433655	66.821973	60.39065	68.069105	65.508908
chr2	104062960	104063010	chr2:+:104062993:TE	8	+	3	3	ENSMUST00000111136:11:11:104059881:104063003	ENSMUST00000111136	5.181222	4.995638	3.804389	5.305795	4.335381	4.999175	4.312817	5.771704	5.181222	5.713189
chr13	14019658	14019674	chr13:-:14019664:TE	1	-	1	2	ENSMUST00000160776:4:4:14019274:14019887	ENSMUST00000160776	24.169065	26.512537	27.586017	24.172282	24.290755	22.226311	27.742314	28.391799	24.169065	27.409366
chr13	14019397	14019401	chr13:-:14019398:TE	4	-	2	2	ENSMUST00000160776:4:4:14019274:14019887	ENSMUST00000160776	1.472461	1.390206	0.928002	1.03617	1.671472	1.368253	1.537569	0.597655	1.472461	1.75338
chr2	166073903	166073933	chr2:-:166073913:TE	7	-	1	2	ENSMUST00000109249:21:21:166073088:166074818	ENSMUST00000109249	181.38187	165.068472	179.874942	170.709607	185.424584	162.32994	214.245584	209.684125	181.38187	188.393654
chr2	166073087	166073091	chr2:-:166073089:TE	5	-	2	2	ENSMUST00000109249:21:21:166073088:166074818	ENSMUST00000109249	0.775343	0.798468	1.228238	0.491158	0.892322	0.912781	0.803094	1.465628	0.775343	1.152221
chr11	41911706	41911735	chr11:-:41911714:TE	2	-	1	3	ENSMUST00000070725:9:9:41910202:41912591	ENSMUST00000070725	83.368893	114.16	107.377402	107.725097	65.831625	104.101119	88.502962	131.993146	83.368893	106.450887
chr11	41911275	41911299	chr11:-:41911278:TE	2	-	2	3	ENSMUST00000070725:9:9:41910202:41912591	ENSMUST00000070725	79.064246	50.813642	69.127759	57.329734	78.321962	52.201159	76.832689	46.697372	79.064246	59.207629
chr11	41910184	41910249	chr11:-:41910208:TE	2	-	3	3	ENSMUST00000070725:9:9:41910202:41912591	ENSMUST00000070725	46.26288	38.997839	41.68871	44.197729	44.626999	34.933619	44.071039	42.070294	46.26288	47.214942
chr12	17551084	17551115	chr12:+:17551092:TE	9	+	1	2	ENSMUST00000221613:8:8:17550606:17551505	ENSMUST00000221613	20.738691	23.546259	18.180023	23.075794	23.311377	30.364204	23.454912	29.737052	20.738691	21.985867
chr12	17551481	17551528	chr12:+:17551500:TE	9	+	2	2	ENSMUST00000221613:8:8:17550606:17551505	ENSMUST00000221613	5.158214	5.503926	5.020029	5.557837	4.629194	4.11027	6.251932	5.925869	5.158214	6.686805
chr4	154318473	154318506	chr4:-:154318481:TE	8	-	1	2	ENSMUST00000097759:17:17:154316124:154320865	ENSMUST00000097759	16.809061	16.261427	14.218168	15.187113	11.626307	17.001236	20.280658	18.069045	16.809061	11.548352
chr4	154316116	154316145	chr4:-:154316124:TE	6	-	2	2	ENSMUST00000097759:17:17:154316124:154320865	ENSMUST00000097759	9.184475	13.680158	9.468981	12.780871	8.163661	10.409745	10.658782	12.78518	9.184475	9.248265
chr15	75895462	75895506	chr15:-:75895489:TE	9	-	1	2	ENSMUST00000109972:7:7:75894799:75895591	ENSMUST00000109972	121.181228	109.826275	115.177239	113.545747	133.154082	132.489162	121.556877	138.111194	121.181228	110.086157
chr15	75894786	75894816	chr15:-:75894796:TE	9	-	2	2	ENSMUST00000109972:7:7:75894799:75895591	ENSMUST00000109972	7.587775	5.219436	7.136378	5.312258	7.138579	3.553785	7.352374	4.597512	7.587775	3.733285
chr15	73757200	73757249	chr15:+:73757226:TE	9	+	1	2	ENSMUST00000167582:5:5:73756796:73758766	ENSMUST00000167582	187.221098	111.665975	61.869606	83.921183	110.195281	265.281359	111.070913	121.0664	187.221098	91.58527
chr15	73758428	73758431	chr15:+:73758429:TE	1	+	2	2	ENSMUST00000167582:5:5:73756796:73758766	ENSMUST00000167582	1.826772	3.336115	1.238736	3.175291	1.701942	3.39033	1.718011	2.734854	1.826772	3.966343
chr5	114805788	114805844	chr5:+:114805818:TE	9	+	1	2	ENSMUST00000140604:4:4:114804238:114806200	ENSMUST00000140604	111.957641	100.862955	100.413187	112.440642	123.32983	120.632191	133.961625	145.54493	111.957641	107.995169
chr5	114806186	114806217	chr5:+:114806190:TE	8	+	2	2	ENSMUST00000140604:4:4:114804238:114806200	ENSMUST00000140604	0.784546	0.489322	1.190446	0.921998	1.627944	1.173576	1.738342	1.235436	0.784546	0.522747
chr15	58900949	58900992	chr15:-:58900975:TE	9	-	1	2	ENSMUST00000227540:10:10:58899930:58901070	ENSMUST00000227540	9.366232	8.940561	6.521209	8.2312	5.275584	8.169115	7.685302	9.33863	9.366232	8.361773
chr15	58899906	58899949	chr15:-:58899928:TE	7	-	2	2	ENSMUST00000227540:10:10:58899930:58901070	ENSMUST00000227540	3.499395	3.741987	4.005946	3.511347	3.425647	3.638268	3.804529	3.328286	3.499395	3.859615
chr8	104420104	104420109	chr8:-:104420109:TE	2	-	1	2	ENSMUST00000041769:13:13:104417679:104420682	ENSMUST00000041769	344.063488	331.745259	322.094414	311.495218	299.230506	297.750286	343.749531	324.326257	344.063488	333.845821
chr8	104417673	104417710	chr8:-:104417682:TE	9	-	2	2	ENSMUST00000041769:13:13:104417679:104420682	ENSMUST00000041769	177.893979	160.960442	155.660806	161.717975	157.016087	145.789686	178.510455	174.242948	177.893979	168.644709
chr11	96048565	96048600	chr11:-:96048577:TE	9	-	1	2	ENSMUST00000100528:7:7:96047431:96050414	ENSMUST00000100528	40.872293	37.964193	36.29496	37.732973	35.777773	38.061318	41.181427	40.110491	40.872293	38.273791
chr11	96048067	96048068	chr11:-:96048068:TE	1	-	2	2	ENSMUST00000100528:7:7:96047431:96050414	ENSMUST00000100528	5.314663	5.426166	6.957916	6.352737	5.558515	5.340779	5.702982	7.630138	5.314663	5.31895
chr18	46609145	46609193	chr18:+:46609173:TE	9	+	1	2	ENSMUST00000078079:3:3:46607503:46610211	ENSMUST00000078079	173.1706	156.06722	168.591948	158.512525	144.956677	149.196545	165.688911	163.219057	173.1706	163.269127
chr18	46610181	46610218	chr18:+:46610210:TE	9	+	2	2	ENSMUST00000078079:3:3:46607503:46610211	ENSMUST00000078079	11.273528	8.955734	11.961149	9.99549	10.303059	10.002024	9.87602	9.619507	11.273528	10.309006
chr13	46649597	46649664	chr13:+:46649639:TE	8	+	1	2	ENSMUST00000021802:13:13:46648280:46650281	ENSMUST00000021802	46.138641	29.767099	32.836998	30.113567	35.018211	34.658132	31.696788	33.113911	46.138641	30.458724
chr13	46650271	46650291	chr13:+:46650291:TE	4	+	2	2	ENSMUST00000021802:13:13:46648280:46650281	ENSMUST00000021802	20.911245	16.090734	12.584716	12.645156	13.972462	18.722113	17.919664	17.359461	20.911245	15.390542
chr1	33740688	33740716	chr1:+:33740709:TE	9	+	1	2	ENSMUST00000138024:8:8:33739252:33742557	ENSMUST00000138024	46.023605	57.829156	53.941697	49.86543	54.795121	55.525372	53.093136	61.400117	46.023605	56.761609
chr1	33742415	33742416	chr1:+:33742416:TE	1	+	2	2	ENSMUST00000138024:8:8:33739252:33742557	ENSMUST00000138024	29.315775	24.088686	24.699133	26.511744	25.903465	25.008732	31.678998	27.401339	29.315775	24.945921
chr11	23489730	23489766	chr11:+:23489761:TE	8	+	1	2	ENSMUST00000180046:80:80:23488583:23490560	ENSMUST00000180046	65.605034	66.965067	64.462553	65.815129	49.678414	57.631931	59.426395	69.302684	65.605034	68.185809
chr11	23490065	23490087	chr11:+:23490087:TE	7	+	2	2	ENSMUST00000180046:80:80:23488583:23490560	ENSMUST00000180046	1.879688	1.667109	1.119061	1.126647	2.859784	1.15521	2.117016	1.997816	1.879688	0.81897
chr13	38602681	38602714	chr13:-:38602682:TE	9	-	1	2	ENSMUST00000035899:5:5:38598840:38604028	ENSMUST00000035899	19.197208	18.220613	19.83657	19.980208	20.277481	19.969152	21.3811	21.906288	19.197208	17.627464
chr13	38598849	38598850	chr13:-:38598850:TE	1	-	2	2	ENSMUST00000035899:5:5:38598840:38604028	ENSMUST00000035899	0.561376	0.561393	0.529087	0.706578	0.391751	0.741979	0.444751	0.728591	0.561376	0.651256
chr2	157891060	157891104	chr2:+:157891090:TE	9	+	1	2	ENSMUST00000029178:16:16:157890904:157891614	ENSMUST00000029178	7.95589	13.632743	11.270397	15.921695	14.235806	16.599025	13.878781	19.234789	7.95589	13.332226
chr2	157891566	157891626	chr2:+:157891621:TE	8	+	2	2	ENSMUST00000029178:16:16:157890904:157891614	ENSMUST00000029178	1.615106	3.47836	2.231824	3.32824	3.066542	4.595127	3.906187	5.389458	1.615106	2.136728
chr5	121665289	121665290	chr5:+:121665290:TE	1	+	1	2	ENSMUST00000142701:3:3:121665098:121665641	ENSMUST00000142701	18.801485	19.874446	19.03874	20.766491	22.956625	26.309032	26.613916	24.007585	18.801485	20.408913
chr5	121665632	121665658	chr5:+:121665658:TE	6	+	2	2	ENSMUST00000142701:3:3:121665098:121665641	ENSMUST00000142701	4.247129	3.298183	3.392876	2.735834	2.618204	4.112106	3.814695	2.927033	4.247129	3.63527
chr15	7206991	7207014	chr15:-:7206997:TE	3	-	1	2	ENSMUST00000160207:23:23:7206582:7207802	ENSMUST00000160207	3.96184	2.39161	4.522436	2.272681	2.304803	5.928485	3.674916	3.387418	3.96184	3.639626
chr15	7206567	7206595	chr15:-:7206572:TE	5	-	2	2	ENSMUST00000160207:23:23:7206582:7207802	ENSMUST00000160207	5.119102	5.655654	2.979265	3.868944	3.466999	4.39494	3.128508	3.592268	5.119102	3.940205
chr12	44598852	44598864	chr12:+:44598864:TE	3	+	1	3	ENSMUST00000110748:28:28:44598349:44600760	ENSMUST00000110748	286.934307	335.682596	267.222615	333.267721	278.898614	312.714753	285.154186	354.261824	286.934307	346.731534
chr12	44600029	44600043	chr12:+:44600033:TE	4	+	2	3	ENSMUST00000110748:28:28:44598349:44600760	ENSMUST00000110748	155.448153	132.327508	150.004612	132.149421	140.599532	107.478593	169.727252	129.946757	155.448153	127.894404
chr12	44600695	44600731	chr12:+:44600731:TE	3	+	3	3	ENSMUST00000110748:28:28:44598349:44600760	ENSMUST00000110748	61.461437	43.012936	61.367813	44.520859	64.005629	41.912629	62.069488	50.916861	61.461437	47.576509
chr18	21027504	21027561	chr18:+:21027535:TE	9	+	1	2	ENSMUST00000052396:6:6:21026085:21028224	ENSMUST00000052396	45.660091	43.8133	44.187177	46.048187	43.486568	35.506632	48.88706	42.002715	45.660091	47.674524
chr18	21028201	21028227	chr18:+:21028223:TE	9	+	2	2	ENSMUST00000052396:6:6:21026085:21028224	ENSMUST00000052396	13.719194	8.546069	11.404768	9.002403	8.777405	8.664992	13.467069	11.532849	13.719194	13.297376
chr3	69749008	69749049	chr3:+:69749044:TE	9	+	1	2	ENSMUST00000029358:16:16:69748771:69756373	ENSMUST00000029358	28.492118	26.336154	23.760633	27.907666	24.142761	28.342128	26.24795	29.308345	28.492118	26.886619
chr3	69756355	69756379	chr3:+:69756378:TE	6	+	2	2	ENSMUST00000029358:16:16:69748771:69756373	ENSMUST00000029358	1.495468	1.320032	1.484383	1.115876	1.434245	1.21949	1.623978	1.294568	1.495468	1.43102
chr5	70751815	70751828	chr5:-:70751828:TE	2	-	1	2	ENSMUST00000031119:9:9:70751046:70754291	ENSMUST00000031119	38.481844	30.787468	37.351035	34.260403	32.878814	29.229197	36.395903	31.855244	38.481844	40.499822
chr5	70751038	70751050	chr5:-:70751047:TE	1	-	2	2	ENSMUST00000031119:9:9:70751046:70754291	ENSMUST00000031119	3.050755	2.598339	2.758812	2.847853	2.748788	2.811806	2.076353	3.053745	3.050755	2.87293
chr7	88310275	88310325	chr7:+:88310311:TE	9	+	1	2	ENSMUST00000032779:7:7:88309399:88310888	ENSMUST00000032779	5.963466	4.984258	6.262964	5.26702	6.233198	6.139692	4.246739	4.867829	5.963466	4.900753
chr7	88310851	88310888	chr7:+:88310874:TE	8	+	2	2	ENSMUST00000032779:7:7:88309399:88310888	ENSMUST00000032779	2.586009	2.126086	2.540458	2.283452	2.026225	2.003711	1.494364	2.008376	2.586009	2.591954
chr13	114288628	114288680	chr13:-:114288649:TE	6	-	1	2	ENSMUST00000022286:5:5:114287794:114288866	ENSMUST00000022286	487.612317	386.319854	464.578429	399.533078	385.635602	382.396496	433.13183	435.802717	487.612317	406.742887
chr13	114287794	114287814	chr13:-:114287795:TE	7	-	2	2	ENSMUST00000022286:5:5:114287794:114288866	ENSMUST00000022286	21.879848	16.851269	20.243883	17.614896	19.032583	15.085681	19.243752	18.867326	21.879848	19.862207
chr5	122787705	122787756	chr5:-:122787731:TE	9	-	1	2	ENSMUST00000086216:17:17:122787458:122788018	ENSMUST00000086216	86.076841	78.151199	50.979229	74.134651	68.39542	88.941975	85.318543	87.21334	86.076841	69.104972
chr5	122787443	122787473	chr5:-:122787444:TE	7	-	2	2	ENSMUST00000086216:17:17:122787458:122788018	ENSMUST00000086216	11.015848	8.561241	9.007079	7.666799	6.211434	7.574063	7.809832	8.333386	11.015848	10.986399
chr2	39015562	39015608	chr2:+:39015589:TE	9	+	1	2	ENSMUST00000112862:4:4:39015057:39015877	ENSMUST00000112862	367.770108	312.88739	351.330679	313.485699	333.800379	311.656882	351.015496	324.40862	367.770108	345.309227
chr2	39015847	39015894	chr2:+:39015872:TE	9	+	2	2	ENSMUST00000112862:4:4:39015057:39015877	ENSMUST00000112862	23.124538	18.65114	21.178184	21.229645	20.090311	20.066491	23.043199	21.864051	23.124538	23.249172
chr4	24903472	24903506	chr4:+:24903499:TE	9	+	1	2	ENSMUST00000029925:3:3:24901693:24905001	ENSMUST00000029925	59.413796	42.392749	45.877317	45.774603	49.417247	42.55176	50.971038	46.921229	59.413796	50.591017
chr4	24904982	24905003	chr4:+:24905001:TE	7	+	2	2	ENSMUST00000029925:3:3:24901693:24905001	ENSMUST00000029925	2.77927	3.226112	3.220713	3.015881	2.994721	2.211244	3.573259	3.153002	2.77927	2.901246
chr5	52866714	52866756	chr5:+:52866733:TE	9	+	1	2	ENSMUST00000031072:28:28:52866394:52867797	ENSMUST00000031072	104.563127	115.578655	114.020385	105.183141	98.801848	113.757866	125.981517	119.839412	104.563127	117.234722
chr5	52867776	52867798	chr5:+:52867793:TE	7	+	2	2	ENSMUST00000031072:28:28:52866394:52867797	ENSMUST00000031072	2.314524	0.988127	1.648149	0.562246	1.445127	0.953186	1.969613	0.806729	2.314524	0.851642
chr5	67619447	67619450	chr5:-:67619448:TE	1	-	1	2	ENSMUST00000037380:37:37:67618139:67622696	ENSMUST00000037380	214.723906	189.215952	213.169642	190.439929	195.494768	180.442308	222.868676	215.770495	214.723906	198.092788
chr5	67618128	67618155	chr5:-:67618129:TE	7	-	2	2	ENSMUST00000037380:37:37:67618139:67622696	ENSMUST00000037380	102.520088	94.892466	92.579758	99.207389	94.329354	83.248572	104.526715	98.444193	102.520088	109.010169
chr5	90228723	90228752	chr5:-:90228724:TE	9	-	1	2	ENSMUST00000196919:2:2:90227818:90229341	ENSMUST00000196919	240.294109	201.092446	222.002458	194.571685	194.550212	193.373679	212.331883	189.488441	240.294109	218.824062
chr5	90227890	90227915	chr5:-:90227915:TE	4	-	2	2	ENSMUST00000196919:2:2:90227818:90229341	ENSMUST00000196919	64.072754	53.044041	54.132756	52.028247	55.010585	50.564765	58.989268	56.633657	64.072754	59.673745
chr8	70843155	70843181	chr8:-:70843164:TE	8	-	1	2	ENSMUST00000110081:10:10:70842048:70844561	ENSMUST00000110081	23.621493	31.231272	24.869197	31.852007	34.743985	36.000673	31.501097	38.302742	23.621493	25.257391
chr8	70842814	70842817	chr8:-:70842817:TE	2	-	2	2	ENSMUST00000110081:10:10:70842048:70844561	ENSMUST00000110081	0.0	0.058795	0.0	0.366214	0.0	0.095502	0.432044	0.0	0.0	0.0
chr16	33299536	33299586	chr16:+:33299561:TE	9	+	1	2	ENSMUST00000023502:14:14:33298430:33300269	ENSMUST00000023502	44.693789	41.084096	38.287435	39.542502	34.432761	38.274361	43.819437	39.667002	44.693789	50.808828
chr16	33300266	33300272	chr16:+:33300271:TE	4	+	2	2	ENSMUST00000023502:14:14:33298430:33300269	ENSMUST00000023502	1.007715	1.010887	0.825124	0.717349	0.589803	0.409558	0.409171	0.62511	1.007715	0.570665
chr19	38265725	38265728	chr19:+:38265726:TE	2	+	1	2	ENSMUST00000134832:2:2:38265574:38269046	ENSMUST00000134832	35.371271	32.483026	38.283236	41.324025	33.52738	23.789242	44.645404	38.803252	35.371271	42.998117
chr19	38267361	38267362	chr19:+:38267362:TE	1	+	2	2	ENSMUST00000134832:2:2:38265574:38269046	ENSMUST00000134832	0.950197	0.938816	0.789432	0.846601	0.504924	1.164393	0.823425	1.634577	0.950197	1.32647
chr16	96121621	96121646	chr16:-:96121628:TE	9	-	1	2	ENSMUST00000050884:6:6:96120617:96122417	ENSMUST00000050884	61.553465	56.772751	60.593079	58.103092	53.78745	54.313228	56.180981	57.497406	61.553465	63.916708
chr16	96120615	96120624	chr16:-:96120618:TE	5	-	2	2	ENSMUST00000050884:6:6:96120617:96122417	ENSMUST00000050884	0.625796	0.430528	0.461902	0.366214	0.520159	0.477511	0.411713	0.403365	0.625796	0.370279
chr16	17045236	17045296	chr16:+:17045279:TE	9	+	1	2	ENSMUST00000069107:9:9:17043685:17047453	ENSMUST00000069107	75.270359	60.869402	69.887797	61.209449	61.491892	59.797261	66.943962	64.548895	75.270359	65.903147
chr16	17047439	17047478	chr16:+:17047462:TE	8	+	2	2	ENSMUST00000069107:9:9:17043685:17047453	ENSMUST00000069107	50.516911	50.125177	49.876964	49.678014	42.306961	47.578483	51.161645	50.802821	50.516911	57.020804
chr7	4489571	4489577	chr7:-:4489574:TE	9	-	1	2	ENSMUST00000145689:4:4:4489171:4489892	ENSMUST00000145689	6.241854	7.5807	1.494881	9.039025	12.111644	17.572413	11.286517	15.883273	6.241854	4.362759
chr7	4489152	4489177	chr7:-:4489172:TE	4	-	2	2	ENSMUST00000145689:4:4:4489171:4489892	ENSMUST00000145689	2.850592	4.10803	4.276788	4.269625	3.347297	3.944977	4.167955	3.944948	2.850592	4.850656
chr10	62187349	62187396	chr10:-:62187367:TE	7	-	1	2	ENSMUST00000047883:8:8:62185395:62188162	ENSMUST00000047883	18.074457	21.406897	16.263132	21.544158	20.116428	25.265853	22.860216	25.635827	18.074457	24.061608
chr10	62185392	62185404	chr10:-:62185396:TE	6	-	2	2	ENSMUST00000047883:8:8:62185395:62188162	ENSMUST00000047883	3.494794	2.761446	2.443879	2.714292	3.388649	2.415105	4.350938	3.281825	3.494794	2.544035
chr8	25676869	25676884	chr8:+:25676884:TE	3	+	1	2	ENSMUST00000146919:10:10:25676702:25677972	ENSMUST00000146919	23.761837	17.972158	17.749615	19.825106	22.660635	20.566041	25.325408	21.553608	23.761837	3.672298
chr8	25677910	25677991	chr8:+:25677971:TE	6	+	2	2	ENSMUST00000146919:10:10:25676702:25677972	ENSMUST00000146919	19.112082	19.899102	17.690827	19.926353	16.941066	19.258395	18.481322	19.382619	19.112082	17.708054
chr12	3404030	3404071	chr12:+:3404064:TE	8	+	1	2	ENSMUST00000020999:8:8:3402788:3406494	ENSMUST00000020999	202.992534	185.970874	193.10632	180.461672	205.453956	179.45239	229.102818	211.910022	202.992534	184.263953
chr12	3406470	3406493	chr12:+:3406486:TE	1	+	2	2	ENSMUST00000020999:8:8:3402788:3406494	ENSMUST00000020999	69.233269	51.760044	59.782651	53.402627	59.533135	47.297486	72.471585	56.008547	69.233269	56.480633
chr9	107539547	107539586	chr9:-:107539579:TE	9	-	1	2	ENSMUST00000041459:3:3:107539006:107540385	ENSMUST00000041459	3.582221	5.75238	5.049423	5.99514	7.262633	8.608058	7.980109	8.035614	3.582221	4.700367
chr9	107538993	107539027	chr9:-:107539007:TE	8	-	2	2	ENSMUST00000041459:3:3:107539006:107540385	ENSMUST00000041459	1.746247	1.136062	1.236636	2.029257	1.484302	1.206634	1.443536	1.754953	1.746247	1.870999
chr6	144999130	144999168	chr6:-:144999136:TE	9	-	1	2	ENSMUST00000032402:11:11:144993834:145000304	ENSMUST00000032402	174.912245	164.114484	149.82615	178.794321	193.520777	170.02889	203.538515	203.620985	174.912245	163.25388
chr6	144993808	144993853	chr6:-:144993830:TE	7	-	2	2	ENSMUST00000032402:11:11:144993834:145000304	ENSMUST00000032402	20.655865	17.406972	19.483845	17.37578	17.972678	16.955322	21.287067	20.455443	20.655865	18.827604
chr18	53953743	53953763	chr18:+:53953762:TE	4	+	1	2	ENSMUST00000069597:13:13:53953244:53955548	ENSMUST00000069597	38.350703	32.530441	37.227161	40.710078	39.029309	38.322112	44.281978	42.142097	38.350703	44.084995
chr18	53955493	53955527	chr18:+:53955518:TE	4	+	2	2	ENSMUST00000069597:13:13:53953244:53955548	ENSMUST00000069597	20.365974	15.510375	18.079245	16.641198	18.566834	15.032421	20.339111	17.030011	20.365974	17.714588
chr1	156052785	156052807	chr1:+:156052807:TE	2	+	1	2	ENSMUST00000111754:3:3:156051293:156053529	ENSMUST00000111754	88.685858	93.145699	77.630945	87.762123	81.44509	89.241338	80.469484	103.168416	88.685858	101.00125
chr1	156053523	156053545	chr1:+:156053529:TE	9	+	2	2	ENSMUST00000111754:3:3:156051293:156053529	ENSMUST00000111754	89.994967	58.910217	77.956376	61.121127	60.246993	58.188416	76.878435	62.665119	89.994967	67.059724
chr5	149616823	149616866	chr5:-:149616845:TE	9	-	1	2	ENSMUST00000202361:18:18:149616543:149617710	ENSMUST00000202361	494.512176	369.239096	487.169612	414.168715	487.456111	346.764976	502.401206	428.390101	494.512176	363.818826
chr5	149616534	149616551	chr5:-:149616539:TE	8	-	2	2	ENSMUST00000202361:18:18:149616543:149617710	ENSMUST00000202361	3.913525	2.401093	4.341874	4.435499	4.335381	2.596926	3.189502	4.373655	3.913525	3.903177
chr18	50091744	50091792	chr18:+:50091777:TE	8	+	1	2	ENSMUST00000179937:3:3:50091265:50093229	ENSMUST00000179937	12.283545	11.595797	11.665112	10.279844	10.884156	8.813755	9.141545	7.906791	12.283545	14.024866
chr18	50093173	50093203	chr18:+:50093203:TE	4	+	2	2	ENSMUST00000179937:3:3:50091265:50093229	ENSMUST00000179937	0.248478	0.132762	0.377919	0.24127	0.213287	0.246102	0.223646	0.215409	0.248478	0.037028
chr15	57870513	57870569	chr15:-:57870537:TE	8	-	1	2	ENSMUST00000022993:8:8:57869501:57871906	ENSMUST00000022993	10.698348	26.021319	11.845674	28.620706	19.411276	32.527697	17.652813	34.332452	10.698348	28.430901
chr15	57869747	57869788	chr15:-:57869773:TE	8	-	2	2	ENSMUST00000022993:8:8:57869501:57871906	ENSMUST00000022993	39.979613	27.333764	32.753015	24.91979	31.78191	25.462368	38.035129	28.319996	39.979613	27.27868
chr17	37074261	37074310	chr17:+:37074304:TE	9	+	1	2	ENSMUST00000025338:23:23:37072852:37075067	ENSMUST00000025338	398.595155	404.970994	384.268455	394.255287	357.35116	390.708864	413.110398	439.566045	398.595155	428.090567
chr17	37074898	37074940	chr17:+:37074932:TE	2	+	2	2	ENSMUST00000025338:23:23:37072852:37075067	ENSMUST00000025338	27.57183	21.372758	30.090783	22.38645	22.02948	22.169377	25.104303	21.633858	27.57183	25.248679
chr12	54860270	54860304	chr12:-:54860271:TE	9	-	1	2	ENSMUST00000078124:4:4:54858816:54861237	ENSMUST00000078124	604.456688	447.7222	492.691434	431.516491	474.547907	467.178613	534.992579	482.930908	604.456688	486.248346
chr12	54858801	54858831	chr12:-:54858804:TE	7	-	2	2	ENSMUST00000078124:4:4:54858816:54861237	ENSMUST00000078124	73.71047	48.602209	52.385929	49.794341	53.493637	52.8458	52.930485	55.11312	73.71047	58.99853
chr11	120605643	120605707	chr11:+:120605688:TE	9	+	1	2	ENSMUST00000026128:3:3:120605280:120608198	ENSMUST00000026128	104.422783	159.084707	81.628493	190.310676	234.515371	280.925361	232.053425	277.633109	104.422783	131.261765
chr11	120608177	120608205	chr11:+:120608198:TE	8	+	2	2	ENSMUST00000026128:3:3:120605280:120608198	ENSMUST00000026128	3.538508	5.613929	3.856878	5.3338	3.675933	5.853186	4.015469	6.747382	3.538508	6.222867
